Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,10/19/17,22-227,LAL,,LAC,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
2,1,10/20/17,22-228,LAL,@,PHO,W (+2),0,2:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-4
3,2,10/22/17,22-230,LAL,,NOP,L (-7),0,14:38,2,3,0.667,1,2,0.5,0,0,,2,2,4,1,0,0,0,1,5,6,21
4,3,10/25/17,22-233,LAL,,WAS,W (+3),0,15:32,1,3,0.333,0,2,0,0,0,,0,5,5,0,1,0,0,1,2,2.4,-12
5,4,10/27/17,22-235,LAL,,TOR,L (-9),0,20:06,4,4,1,0,0,,1,2,0.5,0,4,4,0,2,1,0,3,9,10.1,8
6,5,10/28/17,22-236,LAL,@,UTA,L (-15),0,16:21,2,4,0.5,0,1,0,2,2,1,0,2,2,0,1,0,0,0,6,5.6,7
7,6,10/31/17,22-239,LAL,,DET,W (+20),0,17:00,1,3,0.333,1,1,1,0,0,,0,2,2,1,0,0,1,1,3,1.2,8
8,7,11/2/17,22-241,LAL,@,POR,L (-3),0,13:36,0,4,0,0,2,0,2,2,1,0,1,1,0,2,1,0,0,2,2.2,-7
9,8,11/3/17,22-242,LAL,,BRK,W (+12),0,11:47,0,1,0,0,1,0,0,0,,0,1,1,0,1,1,2,2,0,-1.5,-1
10,9,11/5/17,22-244,LAL,,MEM,W (+5),0,12:06,0,2,0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-6
11,10,11/8/17,22-247,LAL,@,BOS,L (-11),0,11:53,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,2,1,0,-3.1,-8
12,11,11/9/17,22-248,LAL,@,WAS,L (-16),0,14:27,0,4,0,0,2,0,0,0,,0,2,2,1,0,0,0,2,0,-2.3,-6
13,,11/11/17,22-250,LAL,@,MIL,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
14,,11/13/17,22-252,LAL,@,PHO,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
15,,11/15/17,22-254,LAL,,PHI,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,11/17/17,22-256,LAL,,PHO,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
17,12,11/19/17,22-258,LAL,,DEN,W (+18),0,12:10,1,2,0.5,0,1,0,1,2,0.5,1,1,2,0,1,0,0,0,3,3.6,4
18,13,11/21/17,22-260,LAL,,CHI,W (+9),0,14:38,2,6,0.333,0,2,0,1,2,0.5,2,1,3,1,1,0,1,0,5,3.6,-2
19,14,11/22/17,22-261,LAL,@,SAC,L (-11),0,10:10,1,1,1,1,1,1,0,0,,0,3,3,1,1,0,0,0,3,5.3,-1
20,15,11/27/17,22-266,LAL,@,LAC,L (-5),0,21:54,2,3,0.667,1,1,1,0,0,,1,2,3,1,0,0,0,2,5,4.9,17
21,16,11/29/17,22-268,LAL,,GSW,L (-4),0,12:43,2,3,0.667,0,0,,2,2,1,0,3,3,0,0,0,1,2,6,3.8,-4
22,17,12/2/17,22-271,LAL,@,DEN,L (-15),0,22:30,3,4,0.75,3,4,0.75,0,0,,1,2,3,2,2,1,0,1,9,12.4,6
23,18,12/3/17,22-272,LAL,,HOU,L (-23),0,15:05,0,3,0,0,2,0,0,0,,0,0,0,1,0,0,1,0,0,-2.4,-14
24,19,12/7/17,22-276,LAL,@,PHI,W (+3),0,9:10,1,1,1,1,1,1,1,2,0.5,0,3,3,0,0,0,0,0,4,4.2,-2
25,20,12/9/17,22-278,LAL,@,CHO,W (+11),0,13:28,2,2,1,1,1,1,0,0,,0,2,2,0,0,0,1,0,5,4,0
26,21,12/12/17,22-281,LAL,@,NYK,L (-4),0,10:28,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,3
27,22,12/14/17,22-283,LAL,@,CLE,L (-9),1,32:45:00,4,11,0.364,1,4,0.25,2,2,1,1,9,10,2,1,1,1,2,11,9.6,-3
28,23,12/18/17,22-287,LAL,,GSW,L (-2),0,19:07,3,5,0.6,1,1,1,0,0,,1,1,2,0,0,0,0,4,7,4.1,0
29,24,12/20/17,22-289,LAL,@,HOU,W (+6),1,27:44:00,3,11,0.273,3,8,0.375,2,4,0.5,0,4,4,4,1,1,0,3,11,8.2,-24
30,25,12/22/17,22-291,LAL,@,GSW,L (-7),0,16:21,0,3,0,0,1,0,0,0,,0,1,1,1,3,0,1,1,0,0.5,1
31,26,12/23/17,22-292,LAL,,POR,L (-3),1,34:28:00,5,11,0.455,1,3,0.333,0,0,,1,9,10,3,1,0,1,1,11,10.4,8
32,27,12/25/17,22-294,LAL,,MIN,L (-17),1,38:52:00,5,13,0.385,2,8,0.25,0,0,,0,6,6,2,1,0,1,2,12,7.3,-8
33,28,12/27/17,22-296,LAL,,MEM,L (-10),0,29:58:00,3,5,0.6,1,2,0.5,2,2,1,4,4,8,2,0,0,0,4,9,10.5,-3
34,29,12/29/17,22-298,LAL,,LAC,L (-15),1,22:00,1,4,0.25,0,1,0,0,0,,0,2,2,2,1,0,0,2,2,1.8,-15
35,30,12/31/17,22-300,LAL,@,HOU,L (-6),1,36:53:00,9,13,0.692,4,7,0.571,4,8,0.5,1,5,6,1,1,0,0,6,26,20.4,6
36,31,1/1/18,22-301,LAL,@,MIN,L (-18),1,21:04,4,7,0.571,2,4,0.5,0,0,,0,1,1,1,1,0,1,5,10,5.7,-17
37,32,1/3/18,22-303,LAL,,OKC,L (-37),0,19:21,2,7,0.286,1,6,0.167,1,1,1,1,1,2,1,1,1,1,0,6,4.3,-19
38,33,1/5/18,22-305,LAL,,CHO,L (-14),0,23:08,1,6,0.167,1,4,0.25,1,2,0.5,1,2,3,1,1,0,1,2,4,1,-11
39,34,1/7/18,22-307,LAL,,ATL,W (+19),0,19:31,4,7,0.571,2,3,0.667,2,2,1,0,5,5,3,1,0,1,3,12,11.1,17
40,35,1/9/18,22-309,LAL,,SAC,W (+13),0,21:03,0,1,0,0,1,0,0,0,,0,3,3,3,0,0,1,1,0,0.9,7
41,36,1/11/18,22-311,LAL,,SAS,W (+12),0,12:43,2,3,0.667,2,3,0.667,0,0,,0,2,2,0,0,0,0,1,6,4.9,7
42,37,1/13/18,22-313,LAL,@,DAL,W (+6),0,12:06,1,2,0.5,0,1,0,0,0,,0,2,2,0,1,0,1,4,2,0,-2
43,38,1/15/18,22-315,LAL,@,MEM,L (-9),1,31:45:00,5,10,0.5,2,6,0.333,4,4,1,0,3,3,1,1,1,0,1,16,13.9,1
44,39,1/17/18,22-317,LAL,@,OKC,L (-24),0,26:27:00,3,8,0.375,3,6,0.5,0,0,,0,3,3,2,2,0,0,1,9,8.5,-19
45,40,1/19/18,22-319,LAL,,IND,W (+13),1,32:54:00,4,8,0.5,1,4,0.25,0,0,,0,5,5,1,0,0,3,2,9,3.4,5
46,41,1/21/18,22-321,LAL,,NYK,W (+20),1,17:02,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,3,0,-1.2,-2
47,42,1/23/18,22-323,LAL,,BOS,W (+1),0,23:06,2,4,0.5,0,2,0,0,2,0,1,1,2,1,0,0,0,1,4,2.5,7
48,43,1/26/18,22-326,LAL,@,CHI,W (+5),0,22:50,1,2,0.5,1,2,0.5,2,4,0.5,0,3,3,1,0,0,0,0,5,4.8,-17
49,44,1/28/18,22-328,LAL,@,TOR,L (-12),0,13:32,0,1,0,0,1,0,0,2,0,1,1,2,0,0,0,1,0,0,-1.5,-14
50,45,1/31/18,22-331,LAL,@,ORL,L (-22),0,13:53,1,2,0.5,1,2,0.5,0,0,,0,1,1,2,0,0,0,0,3,3.7,-6
51,46,2/2/18,22-333,LAL,@,BRK,W (+3),1,34:48:00,5,8,0.625,3,6,0.5,2,4,0.5,3,11,14,2,1,0,0,2,15,17.6,0
52,47,2/4/18,22-335,LAL,@,OKC,W (+4),1,39:11:00,5,6,0.833,2,3,0.667,2,2,1,1,10,11,2,2,0,2,1,14,16.5,7
53,48,2/6/18,22-337,LAL,,PHO,W (+19),1,31:02:00,5,7,0.714,3,4,0.75,2,2,1,2,9,11,3,1,1,1,4,15,17.4,15
54,49,2/8/18,22-339,LAL,,OKC,W (+25),1,32:52:00,4,9,0.444,2,5,0.4,0,0,,1,7,8,5,1,1,3,2,10,9.5,8
55,50,2/10/18,22-341,LAL,@,DAL,L (-7),1,29:06:00,3,7,0.429,3,6,0.5,0,0,,0,2,2,1,0,0,1,2,9,4.8,-8
56,51,2/14/18,22-345,LAL,@,NOP,L (-22),1,31:15:00,5,6,0.833,3,3,1,2,3,0.667,1,5,6,2,2,1,2,1,15,16.3,-22
