Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/19/17,20-047,LAL,,LAC,L (-16),1,30:31:00,3,15,0.2,0,1,0,6,7,0.857,0,5,5,4,0,0,1,1,12,5.2,-2
2,2,10/20/17,20-048,LAL,@,PHO,W (+2),1,36:43:00,9,14,0.643,3,4,0.75,4,6,0.667,0,2,2,1,1,1,2,6,25,16.6,8
3,3,10/22/17,20-050,LAL,,NOP,L (-7),1,24:18:00,3,9,0.333,0,1,0,1,2,0.5,0,2,2,4,0,0,1,5,7,1.9,16
4,4,10/25/17,20-053,LAL,,WAS,W (+3),1,39:00:00,8,16,0.5,0,3,0,3,3,1,2,8,10,3,1,1,4,4,19,13,9
5,5,10/27/17,20-055,LAL,,TOR,L (-9),1,23:27,3,9,0.333,0,2,0,3,4,0.75,1,1,2,1,0,0,3,1,9,1.8,-15
6,6,10/28/17,20-056,LAL,@,UTA,L (-15),1,33:51:00,7,14,0.5,1,2,0.5,1,4,0.25,0,1,1,2,4,1,4,2,16,9.4,-24
7,7,10/31/17,20-059,LAL,,DET,W (+20),1,34:15:00,6,12,0.5,1,2,0.5,0,0,,0,5,5,6,4,1,5,1,13,12,17
8,8,11/2/17,20-061,LAL,@,POR,L (-3),1,32:17:00,5,11,0.455,0,1,0,4,6,0.667,0,3,3,3,2,0,1,2,14,10.7,-8
9,9,11/3/17,20-062,LAL,,BRK,W (+12),1,35:37:00,7,13,0.538,2,2,1,2,6,0.333,1,9,10,2,1,2,2,3,18,14.1,17
10,10,11/5/17,20-064,LAL,,MEM,W (+5),1,38:17:00,7,14,0.5,0,0,,6,6,1,1,6,7,1,0,0,1,3,20,14,6
11,11,11/8/17,20-067,LAL,@,BOS,L (-11),1,36:33:00,7,11,0.636,0,1,0,4,7,0.571,1,6,7,1,2,0,1,3,18,14.9,-12
12,12,11/9/17,20-068,LAL,@,WAS,L (-16),1,35:01:00,3,8,0.375,0,1,0,4,6,0.667,1,3,4,1,0,0,1,2,10,5.3,-20
