Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/19/17,22-087,LAL,,LAC,L (-16),0,18:42,4,8,0.5,0,2,0,0,2,0,2,2,4,1,2,0,0,2,8,7.1,-17
2,2,10/20/17,22-088,LAL,@,PHO,W (+2),0,28:24:00,6,7,0.857,1,2,0.5,2,3,0.667,0,3,3,2,0,0,0,0,15,14.4,-18
3,3,10/22/17,22-090,LAL,,NOP,L (-7),0,30:26:00,7,13,0.538,2,6,0.333,4,4,1,1,5,6,2,1,0,2,3,20,15.1,2
4,4,10/25/17,22-093,LAL,,WAS,W (+3),0,33:47:00,6,15,0.4,1,6,0.167,2,2,1,0,3,3,0,0,0,3,1,15,4.4,4
5,5,10/27/17,22-095,LAL,,TOR,L (-9),0,32:00:00,7,14,0.5,1,5,0.2,0,0,,2,8,10,1,0,0,4,2,15,7.7,3
6,6,10/28/17,22-096,LAL,@,UTA,L (-15),0,22:16,4,10,0.4,1,3,0.333,0,0,,1,2,3,3,1,0,0,1,9,7.6,-3
7,7,10/31/17,22-099,LAL,,DET,W (+20),0,19:59,6,8,0.75,4,4,1,0,0,,2,4,6,3,0,0,0,1,16,17.1,8
8,8,11/2/17,22-101,LAL,@,POR,L (-3),0,28:34:00,10,17,0.588,1,5,0.2,1,2,0.5,1,2,3,0,0,1,2,3,22,12.5,-11
9,9,11/3/17,22-102,LAL,,BRK,W (+12),1,39:00:00,8,11,0.727,1,3,0.333,4,4,1,0,13,13,1,1,0,1,2,21,20.3,13
10,10,11/5/17,22-104,LAL,,MEM,W (+5),1,37:51:00,5,9,0.556,1,3,0.333,2,2,1,1,11,12,1,0,0,1,0,13,12.4,4
11,11,11/8/17,22-107,LAL,@,BOS,L (-11),1,34:08:00,4,10,0.4,0,2,0,2,2,1,2,4,6,1,0,0,3,5,10,2.9,0
12,12,11/9/17,22-108,LAL,@,WAS,L (-16),1,34:59:00,4,14,0.286,0,2,0,5,6,0.833,5,4,9,1,0,0,5,3,13,3.6,-10
13,13,11/11/17,22-110,LAL,@,MIL,L (-8),1,41:40:00,8,17,0.471,1,4,0.25,4,5,0.8,3,8,11,1,1,1,2,3,21,15.6,0
14,14,11/13/17,22-112,LAL,@,PHO,W (+7),1,33:34:00,4,12,0.333,3,6,0.5,0,0,,0,6,6,2,0,0,1,0,11,6.4,-10
15,15,11/15/17,22-114,LAL,,PHI,L (-6),1,30:47:00,9,18,0.5,1,4,0.25,5,6,0.833,4,3,7,1,0,0,2,2,24,16.2,-4
16,16,11/17/17,22-116,LAL,,PHO,L (-9),1,38:27:00,11,23,0.478,2,7,0.286,6,7,0.857,2,8,10,1,0,0,3,1,30,19,0
17,17,11/19/17,22-118,LAL,,DEN,W (+18),1,25:40:00,7,11,0.636,3,4,0.75,0,2,0,1,2,3,3,1,0,3,2,17,11.9,1
18,18,11/21/17,22-120,LAL,,CHI,W (+9),1,39:55:00,7,15,0.467,4,7,0.571,4,7,0.571,1,2,3,5,0,0,2,4,22,14.3,9
19,19,11/22/17,22-121,LAL,@,SAC,L (-11),1,35:33:00,7,17,0.412,3,7,0.429,0,0,,0,2,2,0,1,0,2,4,17,5.9,-15
20,20,11/27/17,22-126,LAL,@,LAC,L (-5),0,19:36,5,7,0.714,3,5,0.6,2,2,1,1,1,2,3,0,0,3,2,15,11.4,12
21,,11/29/17,22-128,LAL,,GSW,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
22,21,12/2/17,22-131,LAL,@,DEN,L (-15),0,26:54:00,5,13,0.385,1,4,0.25,2,2,1,2,8,10,2,0,0,3,3,13,6.9,-7
23,22,12/3/17,22-132,LAL,,HOU,L (-23),0,27:37:00,8,16,0.5,3,7,0.429,3,5,0.6,3,9,12,0,1,1,2,1,22,17.3,-25
