Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/19/17,19-357,LAL,,LAC,L (-16),1,29:21:00,1,6,0.167,1,3,0.333,0,2,0,0,9,9,4,1,1,2,1,3,3.2,-14
2,2,10/20/17,19-358,LAL,@,PHO,W (+2),1,37:27:00,12,27,0.444,4,9,0.444,1,2,0.5,2,9,11,9,1,0,4,4,29,20.3,1
3,3,10/22/17,19-360,LAL,,NOP,L (-7),1,36:24:00,3,13,0.231,0,5,0,2,2,1,1,7,8,13,1,0,5,1,8,7.6,-24
4,4,10/25/17,19-363,LAL,,WAS,W (+3),1,39:38:00,2,11,0.182,0,5,0,2,3,0.667,1,7,8,10,1,1,1,3,6,8,13
5,5,10/27/17,20-000,LAL,,TOR,L (-9),1,31:30:00,2,7,0.286,1,4,0.25,0,0,,1,6,7,6,2,0,4,0,5,5.6,-15
6,6,10/28/17,20-001,LAL,@,UTA,L (-15),1,35:47:00,3,10,0.3,3,6,0.5,0,0,,1,1,2,4,2,0,5,2,9,3.2,-19
7,7,10/31/17,20-004,LAL,,DET,W (+20),1,27:46:00,6,13,0.462,1,3,0.333,0,0,,2,4,6,3,0,2,0,0,13,12.4,8
8,8,11/2/17,20-006,LAL,@,POR,L (-3),1,28:07:00,0,2,0,0,1,0,0,0,,0,3,3,4,1,2,1,1,0,3.3,10
9,9,11/3/17,20-007,LAL,,BRK,W (+12),1,28:37:00,3,15,0.2,0,3,0,0,1,0,1,4,5,7,2,0,0,4,6,3.5,21
10,10,11/5/17,20-009,LAL,,MEM,W (+5),1,35:09:00,3,13,0.231,1,8,0.125,2,3,0.667,2,3,5,9,0,0,2,2,9,6.5,10
11,11,11/8/17,20-012,LAL,@,BOS,L (-11),1,38:34:00,4,15,0.267,1,5,0.2,0,0,,1,4,5,6,1,4,2,1,9,7.6,-5
12,12,11/9/17,20-013,LAL,@,WAS,L (-16),1,28:30:00,3,12,0.25,1,7,0.143,3,7,0.429,3,5,8,8,2,0,4,1,10,8,-18
13,13,11/11/17,20-015,LAL,@,MIL,L (-8),1,38:48:00,7,12,0.583,3,5,0.6,2,4,0.5,0,12,12,13,3,3,4,3,19,25.2,10
14,14,11/13/17,20-017,LAL,@,PHO,W (+7),1,28:05:00,3,10,0.3,1,4,0.25,0,0,,2,3,5,5,2,0,4,2,7,4.2,-11
15,15,11/15/17,20-019,LAL,,PHI,L (-6),1,21:25,1,9,0.111,0,6,0,0,0,,3,2,5,2,1,0,2,3,2,-2,-18
16,16,11/17/17,20-021,LAL,,PHO,L (-9),1,37:42:00,3,7,0.429,0,1,0,0,2,0,0,6,6,6,5,2,3,2,6,10.1,-2
